ID,Taxable Year,Year Time Date,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Location
184,2013,01/01/2013 12:00:00 AM,Alameda,1563495,701389,57675447000,46217,8,272440,97715,4,2989539000,"(37.72022591, -122.1643521)"
185,2013,01/01/2013 12:00:00 AM,Alpine,1112,290,15659000,35999,26,139,64230,24,489000,"(38.58842891, -119.7124417)"
186,2013,01/01/2013 12:00:00 AM,Amador,36028,14603,784282000,37846,18,7287,61823,27,25788000,"(38.47216216, -120.5741948)"
187,2013,01/01/2013 12:00:00 AM,Butte,221416,79572,3982518000,31630,36,33202,58764,34,134764000,"(39.59127291, -121.6728818)"
188,2013,01/01/2013 12:00:00 AM,Calaveras,44852,17414,956329000,37833,19,8945,60358,29,33230000,"(38.25462698, -120.4657376)"
189,2013,01/01/2013 12:00:00 AM,Colusa,21665,8763,439158000,31123,44,3938,48151,51,16737000,"(39.16798125, -122.2990667)"
190,2013,01/01/2013 12:00:00 AM,Contra Costa,1081948,452448,40694258000,48219,5,189382,96748,5,2171758000,"(37.98817952, -121.9371402)"
191,2013,01/01/2013 12:00:00 AM,Del Norte,28225,7921,352256000,31242,42,3483,54680,41,10041000,"(41.70557047, -123.8920045)"
192,2013,01/01/2013 12:00:00 AM,El Dorado,182958,70564,5771611000,47590,7,36014,86746,8,262102000,"(38.76394197, -120.6060593)"
193,2013,01/01/2013 12:00:00 AM,Fresno,956967,331603,16249545000,28791,54,125501,55476,40,542740000,"(36.81276025, -119.6826941)"
194,2013,01/01/2013 12:00:00 AM,Glenn,28628,10484,469047000,30416,46,4814,49730,48,14887000,"(39.59028676, -122.0780968)"
195,2013,01/01/2013 12:00:00 AM,Humboldt,134698,47647,2242973000,31463,40,18412,58557,35,68534000,"(40.86148517, -123.8585124)"
196,2013,01/01/2013 12:00:00 AM,Imperial,179142,61021,2457007000,24058,58,25600,39653,58,65117000,"(33.07729374, -114.7515356)"
197,2013,01/01/2013 12:00:00 AM,Inyo,18584,7951,409616000,36266,25,3382,67101,22,13372000,"(36.63350255, -118.2559592)"
198,2013,01/01/2013 12:00:00 AM,Kern,865511,288794,15020856000,30938,45,115865,59935,31,534749000,"(35.37676773, -118.8073572)"
199,2013,01/01/2013 12:00:00 AM,Kings,150507,43690,1896181000,29537,50,17879,50544,47,55265000,"(36.01947119, -120.0181641)"
200,2013,01/01/2013 12:00:00 AM,Lake,64209,20952,889774000,29329,51,8915,48439,50,24129000,"(39.06500481, -122.6570192)"
201,2013,01/01/2013 12:00:00 AM,Lassen,33686,8990,464757000,40012,11,4309,67858,21,12680000,"(40.43255922, -120.6495591)"
202,2013,01/01/2013 12:00:00 AM,Los Angeles,10013265,4099191,267252031000,31516,39,1319600,62724,26,13466440000,"(34.0594833, -118.242048)"
